SYSTEM,SYSTEM_TYPE,EXTRACT_DATE,PAID_DATE,DUE_DATE,POSTING_DATE,RECEIPT_DATE,ENTRY_DATE,INVOICE_DATE,INVOICE_NUMBER,INVOICE_LINE_NUMBER,INVOICE_HEADER_DESCRIPTION,INVOICE_LINE_DESCRIPTION,INVOICE_LINE_AMOUNT,INVOICE_LINE_CURRENCY,INVOICE_TYPE,EXCHANGE_RATE,POSTING_KEY,VOUCHER_NUMBER,CLEARING_DOCUMENT,DOCUMENT_NUMBER,DOCUMENT_LINE_NUMBER,DOCUMENT_TYPE,TRANSACTION_TYPE,SUPPLIER_NUMBER,SUPPLIER_NAME,SUPPLIER_TYPE,PREFERRED_SUPPLIER,SUPPLIER_ADDRESS_1,SUPPLIER_ADDRESS_2,SUPPLIER_ADDRESS_3,SUPPLIER_ADDRESS_4,SUPPLIER_ZIP,SUPPLIER_CITY,SUPPLIER_STATE,SUPPLIER_COUNTRY,SUPPLIER_REGION,TAX_NUMBER,ULTIMATE_PARENT,SUPPLIER_COMPLIANCE,BUYER,REQUISITIONER,APPROVER,PO_NUMBER,PO_DATE,PO_DESCRIPTION,PO_CURRENCY,PO_LINE_NUMBER,PO_LINE_DESCRIPTION,PO_UOM,PO_UNIT_COST,PO_QUANTITY,ITEM_NUMBER,ITEM_DESCRIPTION,ITEM_COST,QUANTITY,UOM,MANUFACTURERS_ITEM_DESCRIPTION,MANUFACTURERS_ITEM_NUMBER,PREFERRED_MANUFACTURER,PREFERRED_MANUFACTURER_ITEM_NUMBER,HISTORICAL_ITEM_COST,HISTORICAL_VOLUME,MATERIAL_GROUP,MATERIAL_GROUP_DESCRIPTION,PURCHASING_GROUP,PURCHASING_GROUP_DESCRIPTION,PURCHASING_ORG_CODE,PURCHASING_ORG_DESCRIPTION,PAYMENT_METHOD,PAYMENT_TERMS_CODE,PAYMENT_TERMS_DESCRIPTION,DISCOUNTED_TERMS,SUPPLIER_PAYMENT_TERMS_CODE,SUPPLIER_PAYMENT_TERMS_DESCRIPTION,COMPANY_NUMBER,COMPANY_NAME,COMPANY_CITY,COMPANY_STATE,COMPANY_COUNTRY,COMPANY_REGION,BUSINESS_UNIT,BUSINESS_UNIT_DESCRIPTION,COST_CENTER,COST_CENTER_DESCRIPTION,PROFIT_CENTER,PROFIT_CENTER_DESCRIPTION,ENTITY,ENTITY_DESCRIPTION,DIVISION,DIVISION_DESCRIPTION,DEPARTMENT,DEPARTMENT_DESCRIPTION,PLANT,PLANT_DESCRIPTION,ACCOUNT,ACCOUNT_DESCRIPTION,DISTRIBUTION_AMOUNT,CONTRACT_NUMBER,CONTRACT_START_DATE,CONTRACT_RENEWAL_DATE,CONTRACT_VALUE,CONTRACT_CURRENCY,CONTRACT_UNIT_COST,CONTRACT_NAME,CONTRACT_UOM,CONTRACT_VOLUME,GOVERNMENT_CLASSIFICATION,DIVERSITY_CLASSIFICATION,MCC,MCC_DESCRIPTION,EXPENSE_TYPE,INTERCOMPANY,EMPLOYEE,ADDRESSABLE,ASSET,ASSET_DESCRIPTION,COMMODITY_CODE,COMMODITY_CODE_DESCRIPTION,WBS_DESCRIPTION,WBS_ELEMENT,CATALOGUE,CUSTOMER_CATEGORY_1,CUSTOMER_CATEGORY_2,CUSTOMER_CATEGORY_3,CUSTOMER_CATEGORY_4,CUSTOMER_CATEGORY_5,CUSTOMER_CATEGORY_6,CUSTOMER_CATEGORY_7,CUSTOMER_CATEGORY_CODE,SIC_CODE,SIC_CODE_DESCRIPTION,INDUSTRY_CODE,INDUSTRY_CODE_DESCRIPTION,RISK_INDICATOR,RISK_FACTOR_1,RISK_FACTOR_2,RISK_FACTOR_3,RISK_FACTOR_4,RISK_FACTOR_5,RISK_FACTOR_6,RISK_FACTOR_7,RISK_FACTOR_8,RISK_FACTOR_9,RISK_FACTOR_10,ORG_HIERARCHY_1_CODE,ORG_HIERARCHY_1_DESCRIPTION,ORG_HIERARCHY_2_CODE,ORG_HIERARCHY_2_DESCRIPTION,ORG_HIERARCHY_3_CODE,ORG_HIERARCHY_3_DESCRIPTION,ORG_HIERARCHY_4_CODE,ORG_HIERARCHY_4_DESCRIPTION,ORG_HIERARCHY_5_CODE,ORG_HIERARCHY_5_DESCRIPTION,ORG_HIERARCHY_6_CODE,ORG_HIERARCHY_6_DESCRIPTION,ORG_HIERARCHY_7_CODE,ORG_HIERARCHY_7_DESCRIPTION,ORG_HIERARCHY_8_CODE,ORG_HIERARCHY_8_DESCRIPTION,ORG_HIERARCHY_9_CODE,ORG_HIERARCHY_9_DESCRIPTION,ORG_HIERARCHY_10_CODE,ORG_HIERARCHY_10_DESCRIPTION,ACCOUNT_HIERARCHY_1_CODE,ACCOUNT_HIERARCHY_1_DESCRIPTION,ACCOUNT_HIERARCHY_2_CODE,ACCOUNT_HIERARCHY_2_DESCRIPTION,ACCOUNT_HIERARCHY_3_CODE,ACCOUNT_HIERARCHY_3_DESCRIPTION,ACCOUNT_HIERARCHY_4_CODE,ACCOUNT_HIERARCHY_4_DESCRIPTION,ACCOUNT_HIERARCHY_5_CODE,ACCOUNT_HIERARCHY_5_DESCRIPTION,ACCOUNT_HIERARCHY_6_CODE,ACCOUNT_HIERARCHY_6_DESCRIPTION,ACCOUNT_HIERARCHY_7_CODE,ACCOUNT_HIERARCHY_7_DESCRIPTION,ACCOUNT_HIERARCHY_8_CODE,ACCOUNT_HIERARCHY_8_DESCRIPTION,ACCOUNT_HIERARCHY_9_CODE,ACCOUNT_HIERARCHY_9_DESCRIPTION,ACCOUNT_HIERARCHY_10_CODE,ACCOUNT_HIERARCHY_10_DESCRIPTION,ORG_ID,NAME,DISTRIBUTION_LINE_NUMBER,PO_LINE_CONGA_RECORD,DISTRIBUTION_AMOUNT_USD,CATEGORY_1,CATEGORY_2,CATEGORY_3,LINE_TYPE_LOOKUP_CODE
Receivables,,09022024,09102024,09022024,09012024,,09022024,09022024,492_8287110,1,"REFUND FROM LINKEDIN OVERPAYMENT 10,758.31 USD","REFUND FROM LINKEDIN OVERPAYMENT 10,758.31 USD",10758.31,USD,PAYMENT REQUEST,,,,,100430374,,PAYMENT REQUEST,,-222,-222,-222,,,,,,,,,,AMER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XXLIN_BOA_US_CHECK,Immediate,Immediate,,,,100,LinkedIn Corporation (US),,,,,,,100.0000,100 - Balance Sheet Block,,,,,,,0000,Balance Sheet Block,,,110040,Accounts Receivable - Unapplied Cash,10758.31,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D000, Department Group Structure,D094, NON OPS / BS,D1S0, Non Operating / Balance Sheet,D2S0, Non Operating / Balance Sheet,D3S0, Non Operating / Balance Sheet,D4S0, Non Operating / Balance Sheet,,,,,,,,,A00000, All Accounts,A10000, Asset,A21000, Current Assets,A30130," Accounts Receivable, Net",,,,,,,,,,,,,81,LinkedIn US,1,,10758.31,,,,ITEM
Receivables,,09022024,09102024,09022024,09012024,,09022024,09022024,4465791_8287091,1,REFUND FROM LINKEDIN OVER PAYMENT 712.50 USD,REFUND FROM LINKEDIN OVER PAYMENT 712.50 USD,712.5,USD,PAYMENT REQUEST,,,,,100430373,,PAYMENT REQUEST,,-222,-222,-222,,,,,,,,,,AMER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XXLIN_BOA_US_CHECK,Immediate,Immediate,,,,100,LinkedIn Corporation (US),,,,,,,100.0000,100 - Balance Sheet Block,,,,,,,0000,Balance Sheet Block,,,110040,Accounts Receivable - Unapplied Cash,712.5,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D000, Department Group Structure,D094, NON OPS / BS,D1S0, Non Operating / Balance Sheet,D2S0, Non Operating / Balance Sheet,D3S0, Non Operating / Balance Sheet,D4S0, Non Operating / Balance Sheet,,,,,,,,,A00000, All Accounts,A10000, Asset,A21000, Current Assets,A30130," Accounts Receivable, Net",,,,,,,,,,,,,81,LinkedIn US,1,,712.5,,,,ITEM
Receivables,,09202024,09202024,09202024,09012024,,09202024,09202024,338762_8283062,1,"REFUND FROM LINKEDIN OVERPAYMENT 2,060.00 USD","REFUND FROM LINKEDIN OVERPAYMENT 2,060.00 USD",2060,USD,PAYMENT REQUEST,,,,,101698141,,PAYMENT REQUEST,,-222,-222,-222,,,,,,,,,,AMER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XXLIN_BOA_US_ACH,Immediate,Immediate,,,,100,LinkedIn Corporation (US),,,,,,,100.0000,100 - Balance Sheet Block,,,,,,,0000,Balance Sheet Block,,,110040,Accounts Receivable - Unapplied Cash,2060,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D000, Department Group Structure,D094, NON OPS / BS,D1S0, Non Operating / Balance Sheet,D2S0, Non Operating / Balance Sheet,D3S0, Non Operating / Balance Sheet,D4S0, Non Operating / Balance Sheet,,,,,,,,,A00000, All Accounts,A10000, Asset,A21000, Current Assets,A30130," Accounts Receivable, Net",,,,,,,,,,,,,81,LinkedIn US,1,,2060,,,,ITEM
Receivables,,09202024,09202024,09202024,09012024,,09202024,09202024,339856_8283063,1,"REFUND FROM LINKEDIN OVERPAYMENT 3,057.81 USD","REFUND FROM LINKEDIN OVERPAYMENT 3,057.81 USD",3057.81,USD,PAYMENT REQUEST,,,,,101698141,,PAYMENT REQUEST,,-222,-222,-222,,,,,,,,,,AMER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XXLIN_BOA_US_ACH,Immediate,Immediate,,,,100,LinkedIn Corporation (US),,,,,,,100.0000,100 - Balance Sheet Block,,,,,,,0000,Balance Sheet Block,,,110040,Accounts Receivable - Unapplied Cash,3057.81,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D000, Department Group Structure,D094, NON OPS / BS,D1S0, Non Operating / Balance Sheet,D2S0, Non Operating / Balance Sheet,D3S0, Non Operating / Balance Sheet,D4S0, Non Operating / Balance Sheet,,,,,,,,,A00000, All Accounts,A10000, Asset,A21000, Current Assets,A30130," Accounts Receivable, Net",,,,,,,,,,,,,81,LinkedIn US,1,,3057.81,,,,ITEM
Receivables,,09202024,09202024,09202024,09012024,,09202024,09202024,4860172_8283064,1,"REFUND FROM LINKEDIN OVERPAYMENT 2,253.13 USD","REFUND FROM LINKEDIN OVERPAYMENT 2,253.13 USD",2253.13,USD,PAYMENT REQUEST,,,,,101698142,,PAYMENT REQUEST,,-222,-222,-222,,,,,,,,,,AMER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XXLIN_BOA_US_ACH,Immediate,Immediate,,,,100,LinkedIn Corporation (US),,,,,,,100.0000,100 - Balance Sheet Block,,,,,,,0000,Balance Sheet Block,,,110040,Accounts Receivable - Unapplied Cash,2253.13,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D000, Department Group Structure,D094, NON OPS / BS,D1S0, Non Operating / Balance Sheet,D2S0, Non Operating / Balance Sheet,D3S0, Non Operating / Balance Sheet,D4S0, Non Operating / Balance Sheet,,,,,,,,,A00000, All Accounts,A10000, Asset,A21000, Current Assets,A30130," Accounts Receivable, Net",,,,,,,,,,,,,81,LinkedIn US,1,,2253.13,,,,ITEM
Receivables,,09202024,09202024,09202024,09012024,,09202024,09202024,23206_8325885,1,"REFUND FROM LINKEDIN DUPLICATE PAYMENT 7,223.14 USD","REFUND FROM LINKEDIN DUPLICATE PAYMENT 7,223.14 USD",7223.14,USD,PAYMENT REQUEST,,,,,100430415,,PAYMENT REQUEST,,-222,-222,-222,,,,,,,,,,AMER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XXLIN_BOA_US_CHECK,Immediate,Immediate,,,,100,LinkedIn Corporation (US),,,,,,,100.0000,100 - Balance Sheet Block,,,,,,,0000,Balance Sheet Block,,,110040,Accounts Receivable - Unapplied Cash,7223.14,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D000, Department Group Structure,D094, NON OPS / BS,D1S0, Non Operating / Balance Sheet,D2S0, Non Operating / Balance Sheet,D3S0, Non Operating / Balance Sheet,D4S0, Non Operating / Balance Sheet,,,,,,,,,A00000, All Accounts,A10000, Asset,A21000, Current Assets,A30130," Accounts Receivable, Net",,,,,,,,,,,,,81,LinkedIn US,1,,7223.14,,,,ITEM
Receivables,,09202024,09202024,09202024,09012024,,09202024,09202024,22040_8325887,1,REFUND FROM LINKEDIN OVERPAYMENT 851.86 USD,REFUND FROM LINKEDIN OVERPAYMENT 851.86 USD,851.86,USD,PAYMENT REQUEST,,,,,100430415,,PAYMENT REQUEST,,-222,-222,-222,,,,,,,,,,AMER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XXLIN_BOA_US_CHECK,Immediate,Immediate,,,,100,LinkedIn Corporation (US),,,,,,,100.0000,100 - Balance Sheet Block,,,,,,,0000,Balance Sheet Block,,,110040,Accounts Receivable - Unapplied Cash,851.86,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D000, Department Group Structure,D094, NON OPS / BS,D1S0, Non Operating / Balance Sheet,D2S0, Non Operating / Balance Sheet,D3S0, Non Operating / Balance Sheet,D4S0, Non Operating / Balance Sheet,,,,,,,,,A00000, All Accounts,A10000, Asset,A21000, Current Assets,A30130," Accounts Receivable, Net",,,,,,,,,,,,,81,LinkedIn US,1,,851.86,,,,ITEM
Receivables,,09202024,09202024,09202024,09012024,,09202024,09202024,13953_8325886,1,"REFUND FROM LINKEDIN DUPLICATE PAYMENT 13,030.00 USD","REFUND FROM LINKEDIN DUPLICATE PAYMENT 13,030.00 USD",13030,USD,PAYMENT REQUEST,,,,,100430405,,PAYMENT REQUEST,,-222,-222,-222,,,,,,,,,,AMER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XXLIN_BOA_US_CHECK,Immediate,Immediate,,,,100,LinkedIn Corporation (US),,,,,,,100.0000,100 - Balance Sheet Block,,,,,,,0000,Balance Sheet Block,,,110040,Accounts Receivable - Unapplied Cash,13030,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D000, Department Group Structure,D094, NON OPS / BS,D1S0, Non Operating / Balance Sheet,D2S0, Non Operating / Balance Sheet,D3S0, Non Operating / Balance Sheet,D4S0, Non Operating / Balance Sheet,,,,,,,,,A00000, All Accounts,A10000, Asset,A21000, Current Assets,A30130," Accounts Receivable, Net",,,,,,,,,,,,,81,LinkedIn US,1,,13030,,,,ITEM
Receivables,,09202024,09202024,09202024,09012024,,09202024,09202024,70218730_8325888,1,REFUND FROM LINKEDIN OVERPAYMENT 852.20 USD,REFUND FROM LINKEDIN OVERPAYMENT 852.20 USD,852.2,USD,PAYMENT REQUEST,,,,,100430406,,PAYMENT REQUEST,,-222,-222,-222,,,,,,,,,,AMER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XXLIN_BOA_US_CHECK,Immediate,Immediate,,,,100,LinkedIn Corporation (US),,,,,,,100.0000,100 - Balance Sheet Block,,,,,,,0000,Balance Sheet Block,,,110040,Accounts Receivable - Unapplied Cash,852.2,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D000, Department Group Structure,D094, NON OPS / BS,D1S0, Non Operating / Balance Sheet,D2S0, Non Operating / Balance Sheet,D3S0, Non Operating / Balance Sheet,D4S0, Non Operating / Balance Sheet,,,,,,,,,A00000, All Accounts,A10000, Asset,A21000, Current Assets,A30130," Accounts Receivable, Net",,,,,,,,,,,,,81,LinkedIn US,1,,852.2,,,,ITEM
Receivables,,09202024,09202024,09202024,09012024,,09202024,09202024,133211_8325890,1,"REFUND FROM LINKEDIN OVERPAYMENT 23,766.70 USD","REFUND FROM LINKEDIN OVERPAYMENT 23,766.70 USD",23766.7,USD,PAYMENT REQUEST,,,,,101698134,,PAYMENT REQUEST,,-222,-222,-222,,,,,,,,,,AMER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XXLIN_BOA_US_ACH,Immediate,Immediate,,,,100,LinkedIn Corporation (US),,,,,,,100.0000,100 - Balance Sheet Block,,,,,,,0000,Balance Sheet Block,,,110040,Accounts Receivable - Unapplied Cash,23766.7,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D000, Department Group Structure,D094, NON OPS / BS,D1S0, Non Operating / Balance Sheet,D2S0, Non Operating / Balance Sheet,D3S0, Non Operating / Balance Sheet,D4S0, Non Operating / Balance Sheet,,,,,,,,,A00000, All Accounts,A10000, Asset,A21000, Current Assets,A30130," Accounts Receivable, Net",,,,,,,,,,,,,81,LinkedIn US,1,,23766.7,,,,ITEM
